# machine monitor started pid=2781965 interval=90s 2026-06-12 01:21:58
# columns: time | load1 | mem_avail_gib | data_free_gib | lsmgraph_release_procs(pid:rss_gib:state) | correctness_script_alive
2026-06-12 06:05:45 | 5.47 | 404.2 | 282 | 3095729:0.0:S,3095730:44.7:R | no
2026-06-12 06:07:15 | 5.54 | 402.1 | 279 | 3095729:0.0:S,3095730:46.9:R | no
2026-06-12 06:08:45 | 5.28 | 400.7 | 276 | 3095729:0.0:S,3095730:48.3:R | no
2026-06-12 06:10:15 | 5.25 | 397.9 | 273 | 3095729:0.0:S,3095730:51.0:R | no
2026-06-12 06:11:45 | 5.30 | 396.2 | 270 | 3095729:0.0:S,3095730:52.7:R | no
2026-06-12 06:13:15 | 5.28 | 394.2 | 267 | 3095729:0.0:S,3095730:54.7:R | no
2026-06-12 06:14:45 | 5.41 | 385.1 | 264 | 3095729:0.0:S,3095730:63.8:R | no
2026-06-12 06:16:16 | 5.47 | 362.8 | 260 | 3095729:0.0:S,3095730:86.0:R | no
2026-06-12 06:17:46 | 4.33 | 363.4 | 259 | 3095729:0.0:S,3095730:85.4:R | no
2026-06-12 06:19:16 | 4.94 | 362.0 | 257 | 3095729:0.0:S,3095730:86.8:R | no
2026-06-12 06:20:46 | 4.77 | 360.1 | 254 | 3095729:0.0:S,3095730:88.7:R | no
2026-06-12 06:22:16 | 4.87 | 358.6 | 251 | 3095729:0.0:S,3095730:90.2:R | no
2026-06-12 06:23:46 | 4.81 | 356.1 | 248 | 3095729:0.0:S,3095730:92.7:R | no
2026-06-12 06:25:16 | 5.03 | 354.7 | 245 | 3095729:0.0:S,3095730:94.1:S | no
2026-06-12 06:26:46 | 5.64 | 353.0 | 242 | 3095729:0.0:S,3095730:95.8:R | no
2026-06-12 06:28:16 | 5.65 | 350.6 | 239 | 3095729:0.0:S,3095730:98.3:R | no
2026-06-12 06:29:46 | 5.62 | 348.6 | 236 | 3095729:0.0:S,3095730:100.3:R | no
2026-06-12 06:31:16 | 5.22 | 345.9 | 233 | 3095729:0.0:S,3095730:103.0:R | no
2026-06-12 06:32:47 | 5.76 | 343.5 | 229 | 3095729:0.0:S,3095730:105.4:R | no
2026-06-12 06:34:17 | 5.51 | 299.0 | 226 | 3095729:0.0:S,3095730:149.8:R | no
2026-06-12 06:35:47 | 5.72 | 283.7 | 222 | 3095729:0.0:S,3095730:165.1:S | no
2026-06-12 06:37:17 | 3.75 | 293.0 | 222 | 3095729:0.0:S,3095730:155.8:R | no
2026-06-12 06:38:47 | 3.33 | 293.0 | 222 | 3095729:0.0:S,3095730:155.8:R | no
2026-06-12 06:40:17 | 3.21 | 293.0 | 222 | 3095729:0.0:S,3095730:155.8:R | no
2026-06-12 06:41:47 | 3.61 | 293.0 | 222 | 3095729:0.0:S,3095730:155.8:R | no
2026-06-12 06:43:17 | 3.33 | 293.0 | 222 | 3095729:0.0:S,3095730:155.8:R | no
2026-06-12 06:44:47 | 3.13 | 375.1 | 222 | 3095729:0.0:S,3095730:73.8:R | no
2026-06-12 06:46:17 | 5.12 | 385.0 | 222 | 3095729:0.0:S,3095730:63.9:S | no
2026-06-12 06:47:47 | 4.77 | 446.8 | 352 | 3116369:0.0:S,3116370:2.2:S | no
2026-06-12 06:49:17 | 4.65 | 446.8 | 349 | 3116369:0.0:S,3116370:2.3:R | no
2026-06-12 06:50:48 | 4.35 | 446.5 | 347 | 3116369:0.0:S,3116370:2.5:R | no
2026-06-12 06:52:18 | 4.41 | 446.2 | 344 | 3116369:0.0:S,3116370:2.8:R | no
2026-06-12 06:53:48 | 4.47 | 445.9 | 342 | 3116369:0.0:S,3116370:3.2:R | no
2026-06-12 06:55:18 | 4.52 | 445.7 | 339 | 3116369:0.0:S,3116370:3.3:R | no
2026-06-12 06:56:48 | 4.47 | 445.1 | 336 | 3116369:0.0:S,3116370:3.9:R | no
2026-06-12 06:58:18 | 4.32 | 444.9 | 334 | 3116369:0.0:S,3116370:4.2:R | no
2026-06-12 06:59:48 | 4.38 | 444.7 | 331 | 3116369:0.0:S,3116370:4.3:R | no
2026-06-12 07:01:18 | 4.23 | 443.6 | 328 | 3116369:0.0:S,3116370:5.4:R | no
2026-06-12 07:02:48 | 4.29 | 443.5 | 326 | 3116369:0.0:S,3116370:5.5:R | no
2026-06-12 07:04:18 | 4.54 | 443.4 | 323 | 3116369:0.0:S,3116370:5.7:R | no
2026-06-12 07:05:48 | 4.58 | 443.2 | 320 | 3116369:0.0:S,3116370:5.8:R | no
2026-06-12 07:07:18 | 4.61 | 443.0 | 317 | 3116369:0.0:S,3116370:6.0:R | no
2026-06-12 07:08:49 | 4.56 | 440.8 | 314 | 3116369:0.0:S,3116370:8.3:R | no
2026-06-12 07:10:19 | 4.61 | 440.1 | 312 | 3116369:0.0:S,3116370:8.9:R | no
2026-06-12 07:11:49 | 4.47 | 439.6 | 309 | 3116369:0.0:S,3116370:9.4:R | no
2026-06-12 07:13:19 | 4.59 | 435.2 | 306 | 3116369:0.0:S,3116370:13.8:R | no
2026-06-12 07:14:49 | 5.03 | 434.7 | 303 | 3116369:0.0:S,3116370:14.3:R | no
2026-06-12 07:16:19 | 4.90 | 433.8 | 300 | 3116369:0.0:S,3116370:15.3:R | no
2026-06-12 07:17:49 | 4.67 | 433.4 | 297 | 3116369:0.0:S,3116370:15.6:R | no
2026-06-12 07:19:19 | 4.61 | 432.5 | 294 | 3116369:0.0:S,3116370:16.5:R | no
2026-06-12 07:20:49 | 5.20 | 424.5 | 291 | 3116369:0.0:S,3116370:24.5:R | no
2026-06-12 07:22:19 | 5.31 | 422.6 | 288 | 3116369:0.0:S,3116370:26.4:R | no
2026-06-12 07:23:49 | 5.23 | 420.5 | 284 | 3116369:0.0:S,3116370:28.5:R | no
2026-06-12 07:25:19 | 5.01 | 404.5 | 282 | 3116369:0.0:S,3116370:44.5:R | no
2026-06-12 07:26:50 | 5.02 | 402.2 | 279 | 3116369:0.0:S,3116370:46.8:R | no
2026-06-12 07:28:20 | 5.21 | 400.3 | 276 | 3116369:0.0:S,3116370:48.7:R | no
2026-06-12 07:29:50 | 5.40 | 398.4 | 272 | 3116369:0.0:S,3116370:50.6:R | no
2026-06-12 07:31:20 | 5.09 | 396.1 | 270 | 3116369:0.0:S,3116370:52.8:R | no
2026-06-12 07:32:50 | 5.24 | 394.8 | 267 | 3116369:0.0:S,3116370:54.0:R | no
2026-06-12 07:34:20 | 5.55 | 385.3 | 264 | 3116369:0.0:S,3116370:63.4:R | no
2026-06-12 07:35:50 | 5.62 | 362.5 | 260 | 3116369:0.0:S,3116370:86.4:R | no
2026-06-12 07:37:20 | 4.74 | 363.1 | 259 | 3116369:0.0:S,3116370:85.8:R | no
2026-06-12 07:38:50 | 4.87 | 361.3 | 256 | 3116369:0.0:S,3116370:87.6:R | no
2026-06-12 07:40:20 | 4.79 | 359.5 | 253 | 3116369:0.0:S,3116370:89.4:R | no
